Activity ID,Activity Name,Actual This Period Cost,Actual Total Cost
2618,Montaggio Ponteggi Pila 45,0.0,0.0
2628,Bocciardatura Baggioli Pila 45,0.0,0.0
2638,Passivazione Ferri Baggioli Pila 45,0.0,0.0
2648,Inghisaggi Feri Baggioli Pila 45,0.0,0.0
2658,Montaggio Ferri Pulvino e Baggiolo Pila 45,0.0,0.0
2668,Strati di Malta Pulvini e Baggioli Pila 45,0.0,0.0
2678,Smontaggio Ponteggi Pila 45,0.0,0.0
2688,Montaggio Ponteggi Pila 46,0.0,0.0
2698,Bocciardatura Baggioli Pila 46,0.0,0.0
2708,Passivazione Ferri Baggioli Pila 46,0.0,0.0
2718,Inghisaggi Feri Baggioli Pila 46,0.0,0.0
2728,Montaggio Ferri Pulvino e Baggiolo Pila 46,0.0,0.0
2738,Strati di Malta Pulvini e Baggioli Pila 46,0.0,0.0
2748,Smontaggio Ponteggi Pila 46,0.0,0.0
2758,Montaggio Ponteggi Pila 47,0.0,0.0
2768,Bocciardatura Baggioli Pila 47,0.0,0.0
2778,Passivazione Ferri Baggioli Pila 47,0.0,0.0
2788,Inghisaggi Feri Baggioli Pila 47,0.0,0.0
2798,Montaggio Ferri Pulvino e Baggiolo Pila 47,0.0,0.0
2808,Strati di Malta Pulvini e Baggioli Pila 47,0.0,0.0
2818,Smontaggio Ponteggi Pila 47,0.0,0.0
2828,Montaggio Ponteggi Pila 48,0.0,0.0
2838,Bocciardatura Baggioli Pila 48,0.0,0.0
2848,Passivazione Ferri Baggioli Pila 48,0.0,0.0
2858,Inghisaggi Feri Baggioli Pila 48,0.0,0.0
2868,Montaggio Ferri Pulvino e Baggiolo Pila 48,0.0,0.0
2878,Strati di Malta Pulvini e Baggioli Pila 48,0.0,0.0
2888,Smontaggio Ponteggi Pila 48,0.0,0.0
2898,Montaggio Ponteggi Pila 49,0.0,0.0
2908,Bocciardatura Baggioli Pila 49,0.0,0.0
2918,Passivazione Ferri Baggioli Pila 49,0.0,0.0
2928,Inghisaggi Feri Baggioli Pila 49,0.0,0.0
2938,Montaggio Ferri Pulvino e Baggiolo Pila 49,0.0,0.0
2948,Strati di Malta Pulvini e Baggioli Pila 49,0.0,0.0
2958,Smontaggio Ponteggi Pila 49,0.0,0.0
2968,Montaggio Ponteggi Pila 50,0.0,0.0
2978,Bocciardatura Baggioli Pila 50,0.0,0.0
2988,Passivazione Ferri Baggioli Pila 50,0.0,0.0
2998,Inghisaggi Feri Baggioli Pila 50,0.0,0.0
3008,Montaggio Ferri Pulvino e Baggiolo Pila 50,0.0,0.0
3018,Strati di Malta Pulvini e Baggioli Pila 50,0.0,0.0
3028,Smontaggio Ponteggi Pila 50,0.0,0.0
3038,Montaggio Ponteggi Pila 51,0.0,0.0
3048,Bocciardatura Baggioli Pila 51,0.0,0.0
3058,Passivazione Ferri Baggioli Pila 51,0.0,0.0
3068,Inghisaggi Feri Baggioli Pila 51,0.0,0.0
3078,Montaggio Ferri Pulvino e Baggiolo Pila 51,0.0,0.0
3088,Strati di Malta Pulvini e Baggioli Pila 51,0.0,0.0
3098,Smontaggio Ponteggi Pila 51,0.0,0.0
3108,Montaggio Ponteggi Pila 52,0.0,0.0
3118,Bocciardatura Baggioli Pila 52,0.0,0.0
3128,Passivazione Ferri Baggioli Pila 52,0.0,0.0
3138,Inghisaggi Feri Baggioli Pila 52,0.0,0.0
3148,Smontaggio Ponteggi Pila 52,0.0,0.0
3158,Smontaggio Ponteggi Pila 53,0.0,0.0
3168,Bocciardatura Baggioli Pila 53,0.0,0.0
3178,Passivazione Ferri Baggioli Pila 53,0.0,0.0
3188,Inghisaggi Feri Baggioli Pila 53,0.0,0.0
3198,Montaggio Ferri Pulvino e Baggiolo Pila 53,0.0,0.0
3208,Strati di Malta Pulvini e Baggioli Pila 53,0.0,0.0
3218,Montaggio Ponteggi Pila 53,0.0,0.0
3228,Smontaggio Ponteggi Pila 54,0.0,0.0
3238,Bocciardatura Baggioli Pila 54,0.0,0.0
3248,Passivazione Ferri Baggioli Pila 54,0.0,0.0
3258,Inghisaggi Feri Baggioli Pila 54,0.0,0.0
3268,Montaggio Ferri Pulvino e Baggiolo Pila 54,0.0,0.0
3278,Strati di Malta Pulvini e Baggioli Pila 54,0.0,0.0
3288,Montaggio Ponteggi Pila 54,0.0,0.0
3298,Montaggio Ponteggi Pila 55,0.0,0.0
3308,Bocciardatura Baggioli Pila 55,0.0,0.0
3318,Passivazione Ferri Baggioli Pila 55,0.0,0.0
3328,Inghisaggi Feri Baggioli Pila 55,0.0,0.0
3338,Montaggio Ferri Pulvino e Baggiolo Pila 55,0.0,0.0
3348,Strati di Malta Pulvini e Baggioli Pila 55,0.0,0.0
3358,Smontaggio Ponteggi Pila 55,0.0,0.0
A1000,Linee Telefoniche Interferenti Demolizione,0.0,0.0
A1010,Linee Telefoniche Interferenti Ricostruzione,0.0,0.0
A1020,Linee Elettriche BT interferenti Demilizione,0.0,0.0
A1030,Linee Elettriche BT interferenti Ricostruzione,0.0,0.0
